"file_name","position","classcode","salary_start","salary_end","start_date","end_date","req","notes","duties","selection","experience_length","job_type","education_length","school_type","application_location","partition_0"
"job001.json","Software Engineer","SE001","70000.0","110000.0","2022-01-01","2024-12-31","Python, Java, SQL","Remote-friendly with flexible hours","Develop scalable software solutions.","Technical interview and coding challenge","3","Full-time","4","Bachelor's degree","New York","spark_unstructured"
"job002.json","Data Scientist","DS002","80000.0","120000.0","2021-06-01","2024-05-31","Python, R, SQL, Machine Learning","On-site position with potential remote days","Analyze data trends and build predictive models.","Technical interview and case study","2","Full-time","4","Master's degree","San Francisco","spark_unstructured"
"job003.json","DevOps Engineer","DE003","75000.0","115000.0","2020-03-01","2023-12-31","Docker, Kubernetes, AWS, CI/CD","Flexible working hours available","Maintain and optimize deployment pipelines.","Coding test and technical interview","4","Full-time","4","Bachelor's degree","Chicago","spark_unstructured"
"job004.json","Business Analyst","BA004","50000.0","80000.0","2019-09-01","2022-12-31","Excel, SQL, Data Visualization","Hybrid work model","Gather requirements and analyze business trends.","Group discussion and interview","5","Part-time","2","Associate's degree","Boston","spark_unstructured"
"job005.json","Backend Developer","BD005","60000.0","90000.0","2020-04-15","2023-04-14","Java, Spring Boot, SQL","Flexible hours with occasional on-site meetings","Develop RESTful APIs and microservices.","Technical interview and code review","3","Full-time","4","Bachelor's degree","Seattle","spark_unstructured"
"job006.json","Frontend Developer","FD006","55000.0","80000.0","2020-07-01","2023-06-30","JavaScript, React, CSS, HTML","Remote work with occasional team meetings","Develop interactive web interfaces.","Portfolio review and technical interview","2","Full-time","3","Bachelor's degree","Austin","spark_unstructured"
"job007.json","System Administrator","SA007","48000.0","75000.0","2019-08-15","2022-08-14","Linux, Networking, Bash","On-site required with flexible scheduling","Maintain servers and network infrastructure.","Written test and interview","4","Full-time","3","Associate's degree","Denver","spark_unstructured"
"job008.json","Data Analyst","DA008","52000.0","78000.0","2021-02-01","2023-12-31","SQL, Excel, Tableau","Hybrid work environment","Interpret data and produce actionable insights.","Case study and interview","2","Full-time","4","Bachelor's degree","San Diego","spark_unstructured"
"job009.json","Machine Learning Engineer","MLE009","85000.0","125000.0","2021-05-01","2024-05-01","Python, TensorFlow, PyTorch, ML Algorithms","Competitive salary and benefits","Design and implement ML models.","Technical interview and challenge","3","Full-time","5","Master's degree","Boston","spark_unstructured"
"job010.json","Product Manager","PM010","90000.0","130000.0","2020-10-01","2023-09-30","Agile, Roadmap Planning, Leadership","Leadership role with global exposure","Manage product lifecycle from conception to launch.","Panel interview and case study","5","Full-time","4","Bachelor's degree","Chicago","spark_unstructured"
"job011.json","QA Engineer","QA011","45000.0","70000.0","2018-06-01","2021-05-31","Selenium, Java, Automation Testing","Detail-oriented with strong analytical skills","Test applications for quality and performance.","Practical test and interview","3","Contract","3","Bachelor's degree","Los Angeles","spark_unstructured"
"job012.json","Network Engineer","NE012","60000.0","95000.0","2019-11-01","2022-10-31","Cisco, Networking, Troubleshooting","On-call rotation with competitive benefits","Design, implement, and troubleshoot networks.","Technical interview","4","Full-time","4","Bachelor's degree","Atlanta","spark_unstructured"
"job013.json","Database Administrator","DBA013","65000.0","100000.0","2020-03-01","2023-02-28","SQL, Oracle, Backup & Recovery","High availability environment","Maintain and secure databases.","Written test and interview","5","Full-time","4","Bachelor's degree","Houston","spark_unstructured"
"job014.json","Security Analyst","SA014","70000.0","110000.0","2021-04-01","2024-03-31","Cybersecurity, SIEM, Risk Assessment","Strict confidentiality required","Monitor and secure IT systems.","Technical interview","3","Full-time","4","Master's degree","Washington DC","spark_unstructured"
